ID,Titre,Prix,Date de publication,Type de carburant,Transmission,Créateur,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Première main,Puissance fiscale,Équipements,Ville du vendeur,Dossier d'images,Dédouané
466181,OPEL  Corsa,139 000 Dhs,2025-04-27,Diesel,Manuelle,Nom masqué,Casablanca,84 000,OPEL,Corsa,5,Oui,6,"Opel corsa 2022 , exellent etat , 1 ere main , propre",Casablanca,466181_OPEL_Corsa,2022
467550,MERCEDES-BENZ  Classe s,435 000 Dhs,2025-04-27,Diesel,Automatique,Nom masqué,Casablanca,139 000,MERCEDES-BENZ,Classe,5,Oui,12,"Mercedes benz classe s 350 pack amg plus 12/2016 , exellent etat , tres propre , entretien complet a la maison , 140k km seulement , double toit ouvrant , ecran arriere dvd , distronic , camera 360 , siege 3 memoire devant et arriere , cruise adaptatif , stationement automatic , gps , voiture tres classe , pour plus d'info contacter moi",Casablanca,467550_MERCEDES-BENZ_Classe_s,2017
465071,LAND-ROVER  Range rover velar,335 000 Dhs,2025-04-27,Diesel,Automatique,Nom masqué,Casablanca,129 000,LAND-ROVER,Range,5,Oui,8,"Range rover velar 2019 , sans toit ouvrant , exellant etat , pour plus d'info contacter moi",Casablanca,465071_LAND-ROVER_Range_rover_velar,2019
468676,MASERATI  Levante,339 000 Dhs,2025-04-27,Diesel,Automatique,Nom masqué,Casablanca,109 000,MASERATI,Levante,5,N/A,12,"Maserati levante diesel toute option 2017 , exellent etat , peinture d'origine , angle mort ,camera 360 , cruise adaptatif , toit panoramique ouvrant , coffre electrique , pour plus d'info contacter",Casablanca,468676_MASERATI_Levante,2017
468939,PEUGEOT  308,269 000 Dhs,2025-04-27,Diesel,Automatique,Nom masqué,Casablanca,79 000,PEUGEOT,308,5,Oui,6,"Peugeot 308 gt line 2023 1ere main , diesel , automatique , la toute option , etat comme neuve , tres propre , entretien maison , pour plus d'info contacter moi",Casablanca,468939_PEUGEOT_308,2023
463108,OPEL  Corsa,Appeler pour le prix,2025-04-27,Essence,Manuelle,AUTO KHALFI,Casablanca,74 000,OPEL,Corsa,N/A,N/A,6,Je mtes en vente ma voiture opel corsa toute optiont et tres bonne etat,Casablanca,463108_OPEL_Corsa,2021
463112,HYUNDAI  Tucson,Appeler pour le prix,2025-04-27,Diesel,Automatique,AUTO KHALFI,Casablanca,74 000,HYUNDAI,Tucson,5,Oui,6,Je mets en vente ma voiture huyndai tecson toute optiont et tres bonne etat,Casablanca,463112_HYUNDAI_Tucson,2023
455791,MERCEDES-BENZ  220 205,190 000 Dhs,2025-04-27,Diesel,Automatique,AUTO KHALFI,Casablanca,190 000,MERCEDES-BENZ,220,5,Oui,8,je mtes en vente ma voiture claase c 220 toute optiont et tres bonne etat,Casablanca,455791_MERCEDES-BENZ_220_205,2016
463256,ABARTH  595,Appeler pour le prix,2025-04-27,Essence,Automatique,AUTO KHALFI,Casablanca,49 000,ABARTH,595,5,Oui,8,Je mtes en vente ma voiture.abart cabroilet toute optiont et tres bonne etat,Casablanca,463256_ABARTH_595,2022
463560,HYUNDAI  Tucson,Appeler pour le prix,2025-04-27,Diesel,Automatique,AUTO KHALFI,Casablanca,109 000,HYUNDAI,Tucson,5,Oui,6,Je mtes en vente ma voiture huyndai tecson tout optiont et.tres bonne etat,Casablanca,463560_HYUNDAI_Tucson,2021
467108,PORSCHE  Cayenne,Appeler pour le prix,2025-04-27,Hybride,Automatique,LUXURY AUTO,Casablanca,4 000,PORSCHE,Cayenne,N/A,N/A,17,Porsche cayenne hybride coupé pack sport design (importée neuve) est disponible actuellement chez luxury auto.,Casablanca,467108_PORSCHE_Cayenne,2024
467118,PORSCHE  Cayenne,Appeler pour le prix,2025-04-27,Hybride,Automatique,LUXURY AUTO,Casablanca,4 000,PORSCHE,Cayenne,5,N/A,17,Porsche cayenne hybride coupé pack sport design 2024 (importée neuve) est disponible actuellement chez luxury auto.,Casablanca,467118_PORSCHE_Cayenne,2024
467120,PORSCHE  Autre,Appeler pour le prix,2025-04-27,N/A,N/A,N/A,Casablanca,N/A,PORSCHE,Autre,N/A,N/A,N/A,N/A,Casablanca,467120_PORSCHE_Autre,N/A
467121,MERCEDES-BENZ  Classe glc,Appeler pour le prix,2025-04-27,N/A,N/A,N/A,Casablanca,N/A,MERCEDES-BENZ,Classe,N/A,N/A,N/A,N/A,Casablanca,467121_MERCEDES-BENZ_Classe_glc,N/A
467124,AUDI  Q8,Appeler pour le prix,2025-04-27,N/A,N/A,N/A,Casablanca,N/A,AUDI,Q8,N/A,N/A,N/A,N/A,Casablanca,467124_AUDI_Q8,N/A
466206,NISSAN  Qashqai,128 000 Dhs,2025-04-27,Diesel,Manuelle,AUTO ABDERRAHIM,Marrakech,189 000,NISSAN,Qashqai,5,Oui,6,Nissan qashqai modèle 2012 tomobil jdida baqa kamla sbara original kelomitrage original tout options محل لبيع وشراء السيارات المعلومات موجودة في الاعلان لي مهتم بها مرحبا,Marrakech,466206_NISSAN_Qashqai,2012
466207,VOLKSWAGEN  T-roc,Appeler pour le prix,2025-04-27,Diesel,Automatique,AUTO ABDERRAHIM,Marrakech,109 000,VOLKSWAGEN,T-roc,5,Oui,8,Volkswagen troc modèle 2020 diwana 2025 diesel tout options tomobil jdida baqa kamla sbara original kelomitrage original tout options,Marrakech,466207_VOLKSWAGEN_T-roc,2020
466209,VOLKSWAGEN  Tiguan,228 000 Dhs,2025-04-27,Diesel,Automatique,AUTO ABDERRAHIM,Marrakech,179 000,VOLKSWAGEN,Tiguan,5,Oui,8,Volkswagen tiguan 2018 full options tomobil jdida baqa kamla sbara original kelomitrage original tout options محل لبيع وشراء السيارات المعلومات موجودة في الاعلان لي مهتم مرحبا,Marrakech,466209_VOLKSWAGEN_Tiguan,2018
